Topic	Question	Answer
Оплата	Возврат партнеру	!!ВОЗВРАТЫ НЕ ДЕЛАЕМ Если партнер говорит, что клиент хочет возврат, мы можем удалить у клиента подписку, но деньги останутся на бонусном е клиента. 1. Если за возвратом приходит клиент, который пополнял баланс через партнера, то: - говорим клиенту, что поскольку он оплачивал сервис через партнера, то деньги ему возвращает партнер. - отправляем клиента к партнеру и сообщаем, что подписку удалим и переведем деньги партнеру как только они обговорят возврат и клиент предупредит партнера, что больше не будет пользоваться сервисом. ("Вам необходимо обратиться к партнеру через которого оплачивали сервис. Уведомить его, что больше не будете использовать Wazzup и обговорить возврат. После этого напишите нам повторно, пожалуйста, мы удалим подписку и переведем деньги на аккаунт партнера.") - удаляем подписку и переводим деньги партнеру после того, как клиент обговорил возврат со своим партнером и сообщил нам об этом.  В случае форс-мажорных ситуаций (клиент не общается с партнером/клиент не может дозвонится партнеру и т.д.) будет подключаться партнерский отдел. Если такое произойдет - тегаем Лину в чатике и индивидуально будем смотреть.  2. Когда партнер запрашивает вывод — проверяйте не только наличие денег на партнерском у, но и чтобы эти деньги были реальным партнерским вознаграждением. Например: - Партнер 1 сентября получил комиссионные 20% в размере 4000 рублей. Это партнерское вознаграждение за работу, эти деньги спокойно выводим. -Партнер пополнил свой  на 4000 рублей, потратил 2000 рублей на клиента, а остальные 2000 просит вывести. Это не вывод, а возврат. Партнерского вознаграждение в этом случае нет, он просит вывести те же деньги, которыми пополнил сервис.  Партнеру говорим, что мы производим вывод только партнерских вознаграждений. Деньги, которые он пополнял мы можем вернуть по процедуре возврата, на те же реквизиты с которых оплачивался сервис.
Оплата	Нужно оплатить с НДС	Наш вид деятельности не облагается НДС согласно п. 1 ст. 145.1 НК РФ.
Оплата	Если иностранец просит инвойс /	С 07.09.2022 новые инвойсы генерируются в лк клиента - Подписки- а и платежи - 3 точки у нужного платежа  При оплате через страйп мы можем предоставить инвойс/закрывающий документ Перед созданием задачи на инвойс уточняем у клиента всю информацию: 1. Физ. лицо или юр.лицо; 2. Сумма оплаты; 3. Дата оплаты; 4. Номер аккаунта; 5. Название компании (если юр. лицо)/ФИО (если физ. лицо); 6. Регистрационный номер (если юр. лицо)/Дата рождения (если физ. лицо); 7. VAT (если юр. лицо)/Банковские реквизиты (если физ. лицо); 8. Адрес  Для создания задачи в обращении нажимаем Передать-Инвойс  Если просят инвойс за 2021,2022 год, предоставить не сможем, т.к. период закрыт
Оплата	Оповещение о необходимости оплатить подписку	Уведомления приходят в Telegram. Напоминания о необходимости продлить подписку приходят за 3 дня, за день и в день окончания подписки.  https://wazzup24.com/help/ru/how-to-configurate/notifications-for-curator-ru/  Если подключено автопродление, нотификации не приходят
Оплата	Про закрывающие документы	ПРЕЖДЕ ЧЕМ СТАВИТЬ ЗАДАЧУ - ПОИЩИ ИНФО В ПФ, ВОЗМОЖНО ЗАДАЧА УЖЕ ЕСТЬ!!!!! НЕ НАДО ИХ ПЛОДИТЬ!!! Мы можем предоставить клиенту оригиналы акта выполненных работ (для оплат до 01.01.2021)/универсальный передаточный документ (УПД с 01.01.2021), если оплата была безналичным способом по у. Как только деньги поступают, подписка оплачивается, и у нее можно скачать УПД. Если клиенту необходим оригинал акта выполненных работ/УПД, то он будет направлен в его адрес по его заявке. Для нас наличие оригинала акта/УПД необязательно. *С 01.01.2021 мы на общей системе налогообложения и вместо актов отправляется УПД.  Подписанный договор не требуется, так как Wazzup работает по договору оферты, который вы принимаете при регистрации и оплате подписки. Акцептом является регистрация в сервисе и дополнительно - оплата.  Также УПД можем отправить, если была оплата с корпоративной карты, для этого клиенту нужно прислать заявление на наши реквизиты в свободной форме, что они просят предоставить упд по чеку (в заявление должны быть указаны и реквизиты организации, на которую нужно выставить упд). После того, как пришлют, поставить разовую задачу на Кристину Кузевич.  Акт сверки: Если клиент просит прислать акт сверки: Наша бухгалтерия акты сверок не делает. Если вам необходимо подписать акт сверки — формируйте его и присылайте нам. Мы поставим печать и отправим его обратно. Важно понимать, что как только деньги приходят к нам, они сразу идут на оплату подписки, поэтому дебет и кредит в акте сверки всегда будут сходиться. Если акт сверки прислали без задолженности - ставим разовую задачу на Кристину Кузевич Если акт сверки прислали с задолженностью - пишем, чтобы прислали без нее, потому что такой мы не подпишем. Акт сверки клиент может также направить по ЭДО, для этого необходимо, чтобы либо клиент отправил нам приглашение, либо мы отправили."
Оплата	При оплате через страйп ошибка Error "errorCode"	Просим прислать скриншот ошибки И по коду ищем ошибку https://stripe.com/docs/error-codes
Оплата	Тарифы	Тарифы Wazzup для WhatsApp Web, Instagram API, Telegram Personal, Avito. Start. Нельзя писать первым и есть ограничение в 100 диалогов в месяц. Подписка на 1 месяц — 1500 ₽. Подписка на 6 месяцев — 8100 ₽ (1500 ₽ х 6 — 10% скидка). Подписка на 12 месяцев — 14 400 ₽ (1500 ₽ х 12 — 20% скидка).  PRO. Можно писать первым и есть ограничение в 500 диалогов в месяц. Подписка на 1 месяц — 3000 ₽. Подписка на 6 месяцев — 16 200 ₽ (3000 ₽ х 6 — 10% скидка). Подписка на 12 месяцев — 28 800 ₽ (3000 ₽ х 12 — 20% скидка).  MAX. Ограничений нет.  Подписка на 1 месяц — 6000 ₽. Подписка на 6 месяцев — 32 400 ₽ (6000 ₽ х 6 — 10% скидка). Подписка на 12 месяцев — 57 600 ₽ (6000 ₽ х 12 — 20% скидка).  Для каналов VK и Telegram Bot тарифы немного другие. Бесплатный тариф: ограничение до 500 диалогов в месяц, можно добавлять до 100 каналов в подписку. Тариф PRO: Нет лимитов на диалоги в месяц, подписка на 1 месяц стоит 3000 рублей (при оплате подписки на полгода вы получаете скидку 10%, при оплате подписки на год — 20%).  Стоимость указана за 1 канал в месяц. Один канал — это 1 номер WhatsApp Web, 1 аккаунт Instagram, 1 аккаунт Avito или 1 аккаунт Telegram. Диалогом считается переписка, в которой было хотя бы одно исходящее сообщение. 
Оплата	Цены в долларах, евро и тенге	Доллары/Евро WhatsApp Web/Instagram/Telegram Personal START $20 PRO $45 MAX $90 Pro для ВК и ТГ бота  $45  WhatsApp Business API 1 month subscription - $90  Тенге: https://drive.google.com/file/d/1htH_Ni6I4UOtY5KU_hDe9BmhxbY85Zks/view?usp=sharing
Оплата	Если приходит НКО (некоммерческая организация, благотворительная)	Если приходит представитель НКО (некоммерческой организации) с просьбой предоставить им бесплатно доступ к сервису, сообщаем, что можем предоставить доступ взамен на размещение нашего лого у них на сайте Если они разместили, запрашиваем ссылку, идем в чат саппорта и тегаем Лину, она скажет дадим бесплатный доступ или нет  Список НКО кому предоставляли доступ. Если просят продлить, смотри по ссылке, есть ли наш лого, если есть, то продлевай на тарифе Макс на год https://docs.google.com/spreadsheets/d/1lyi0RD2BtjswkURsjPnCEcTOUvgAtiSz/edit?usp=sharing&ouid=116931499878570934992&rtpof=true&sd=true  Наш лого https://drive.google.com/file/d/16QReeXfD_KNAE_Z9zgCjE7pVHbEROpr9/view
Оплата	При попытке оплатить карточкой появляется ошибка "Сайт money.yandex.ru не позволяет установить соединение"	Попроси прислать скрин, чтобы было видно адресную строку браузера. Ссылка должна быть wazzup24.com, а не .org
Партнерка	Про партнерку в общем	У нас есть два вида партнерской программы: 1. Реферальный партнер. Подойдет всем, кто пользуется Wazzup. Приглашайте друзей и знакомых в наш сервис по реферальной ссылке. Вы получите бонусы, когда реферал зарегистрируется в сервисе по реферальной ссылке и оплатит подписку. На ваш бонусный  будет начисляться 20% с платежей рефералов. Бонус начисляется первого числа каждого месяца в течение одного года с момента регистрации реферала. Бонусами можно оплатить всю подписку или её часть. Передать бонусы или вывести из сервиса на карту в виде денег нельзя.  2. Официальный партнер. Подойдет интеграторам, маркетологам. Официальный партнер получает от 35 до 50% с клиентов, которых он добавил в сервис в своем партнерском разделе. Он сам консультирует своих пользователей и настраивает им сервис. Официальный партнер получает процент с платежей своих клиентов в течение всего времени работы. Деньгами с партнерского аккаунта партнер может оплатить свою подписку, подписки своих клиентов или вывести деньги на счет или карту. Чтобы получить статус официального партнера, заполните заявку: https://wazzup24.ru/official-partnership/
Партнерка	Кэшируются ли переходы по моим реферальным ссылкам?	Пока жива Сookie с кодом реф.ссылки - будет работать. Сейчас эти cookie живут 3 месяца. Но чтобы было точно - лучше мотивируйте регистрироваться сразу.
Партнерка	Прикрепить клиента/реферала партнеру	1. Если НЕ оф. партнер просит прикрепить к нему реферала, то не прикрепляем, т.к. рефералы вручную не прикрепляются  2. Если оф. партнер просит прикрепить к нему клиента:  - уточняем номер аккаунта клиента и проверяем, не закреплен ли он за другим оф. партнером (через админку проверить можно)  - если не закреплен - уточняем логин клиента, сверяем, прикрепляем через админку  - если закреплен - пишем, чтобы нам написал сам владелец аккаунта и указал, что хочет открепиться от одного партнера и прикрепиться к другому, и свой логин; также если клиент закреплен за реф. партнером, то от него открепить не получится, просто прикрепляем к оф. партнеру, к которому он просит. Обязательно уточняем причины открепления от старого партнера, прикрепляем к новому партнеру через пф. От старого он автоматически открепится.   3. Если клиент просит закрепить его за партнером - уточняем номер аккаунта и логин, проверяем, закреплен он за кем-нибудь или нет: - если не закреплен, сверяем логин и прикрепляем через админку - если закреплен за другим партнером, уточняем причины смены партнера, сверяем логин, закрепляем за новым партнером через пф  НЕЛЬЗЯ ОТКРЕПЛЯТЬ КЛИЕНТОВ ОТ АККАУНТА 6703-4575 И ПРИКРЕПЛЯТЬ К ДРУГИМ  Важно: реферальный партнер остается прежний. Если клиент будет сам платить, то деньги будет получать старый партнер в течение года с момента регистрации клиента. Если один оф партнер просит прикрепить другого оф партнера - такое невозможно, прикрепить можно только обычного пользователя.
Партнерка	Тех.партнерка	Тех.партнеры получают 50% с оплаты клиента, если клиент зарегался по их реф.ссылке
Партнерка	Аккаунт для демо	Войти в аккаунт для демо можно только через основной партнерский аккаунт: раздел «Партнерка» → вкладка «Клиенты» → «Аккаунт для демо». Отдельного входа в аккаунт для демо нет. Логин (email) для входа в демо менять нельзя. Оплатить подписку в аккаунте для демо не получится.
Партнерка	Как партнеру оплатить подписку своего клиента	Партнер заходит в свой ЛК, переходит в раздел "партнерка" - вкладка "клиенты" - кликает на нужного клиента и попадает в его ЛК. Оттуда создает подписку и оплачивает со своего партнерского а. Партнер может использовать бонусы клиента при оплате подписки, но если бонусов клиента хватает на полную оплату подписки, то партнер не сможет оплатить. Клиенту необходимо самостоятельно оплатить подписку в своем лк.
Партнерка	Не получается скачать УПД	В истории партнерского а предлагаем скачать инвойс и УПД, которых нет, потому что это было давно За 2021 год у нас есть не все а в виде пдф, т.к. это был переходный период на интеграцию с 1с. Скачать такие документы не получится Если юзеру очень надо - задачу в фин.отдел ставим
Партнерка	Клиент спрашивает почему не начислилось 20% с оплаты рефералов	Деньги начисляются 1 числа следующего месяца. Уточняем номер аккаунта, по которому не начислилось, проверяем дату регистрации аккаунта и за кем закреплен в админке: https://monosnap.com/file/gDDIGmwJcFRWu68DewxXtSmFDMQ9E2 Если прошло более 1 года с момента регистрации, кэшбэк не начисляется  Если прошло менее года-на л3
Партнерка	Вывод из партнерки	Вывод оформляем только оф. партнерам и тех. партнерам! Реферальные могут использовать бонусы для оплаты своих подписок.  Перед оформлением вывода предлагайте ОФ ПАРТНЕРУ оставить деньги на партнерке для оплаты подписок другим клиентам. Если не соглашаются - оформляйте. Минимальная сумма для вывода - 2000 рублей. Не важно было это пополнение или вознаграждение. Если вывод более 50 000 рублей, согласуй с Линой в чате) Вознаграждение в рублях отправляется в течение 3 рабочих дней двумя способами: 1. На счет организации, без комиссии, если партнер ИП или ООО из РФ. От Партнера нужны подписанные счет и акт. Перед оформлением вывода нам нужно получить от партнера подписанные +акт. В назначении документов можно писать "привлечение клиентов" или "оказание партнерских услуг". Реквизиты для выставления https://drive.google.com/file/d/171NxRXhVLUYdoryUF4JVyg7egXqSnyI_/view?usp=sharing Пример задачи на вывод на р/с: https://wazzup.planfix.ru/task/287563/ Выплату бухгалтерия производит только после получения а и акта, поэтому задачу не ставьте, пока партнер их не пришлет. 2. На карту любого банка. Но при выводе на карту будет взиматься комиссия банка 7%. Обязательно проговаривайте этот момент партнеру! При запросе вывода, русскому партнеру всегда предлагаем оба варианта, и вывод на РС и вывод на карту. Запрашиваем: номер аккаунта, сумма, номер карты, банк, страна, ФИ владельца.  !!ВЫВОД В ЕВРО/ДОЛЛАРАХ ОСУЩЕСТВЛЯЕТСЯ В ТЕЧЕНИЕ МЕСЯЦА!! Валюту выводить сложно, требуется больше времени на обработку. 1. Перевод на банковский  юр лица по инвойсу без комиссии для всех иностранцев - Запрашиваем у партнера инвойс на наши реквизиты и IBAN (IBAN (International Bank Account Number – международный номер банковского а), и только как пришлет ставим задачу на вывод. Партнеру можно отправить ссылку, пусть сделает себе копию и заполнит инвойс: https://docs.google.com/spreadsheets/d/13062Pul5a4wvbmyoSRCcEu_vNClM2ACd/edit?usp=sharing&ouid=116931499878570934992&rtpof=true&sd=true По ссылке есть реквизиты  2. На карту физ лиц через сторонний сервис, с комиссий 7% только для иностранцев из Казахстана и Украины. Запрашиваем: номер аккаунта, сумма, номер карты, банк, страна, ФИ владельца Для иностранцев из других стран на карту не вывести.  Сроки вывода для РФ: если запрашивают в начале месяца, то мы осуществляем выводы только после 5ого числа в течение 3х рабочих дней с момента обращения. Если не в начале месяца, то в течение 3-х рабочих дней с момента обращения.  В тенге вывести не можем. Если клиент приходит не часто, можем конвертировать валюту аккаунта в рубли и вывести только на Каспи банк
Партнерка	Можно ли оплатить подписку в аккаунте для демо	В демо-аккаунте невозможно оплатить никакие услуги При попытке добавить подписку на демо-аккаунт, пользователь может пройти по всему сценарию до момента оплаты или выставления а. При попытке оплатить картой или скачать  появится соответствующая ошибка.
Партнерка	Партнер спрашивает, можем ли мы дать ему сертификат партнера	Если партнер хочет сертификат, спрашиваем его название компании (если нет компании - ФИО), переходим по ссылке и делаем: https://docs.google.com/presentation/d/1aXrD0hIsM8Q2SzD6Fr322M_1z3JSLkQ8BW9hCDAx2do/edit?usp=sharing Как делать показано тут: https://t.me/c/1241802314/209
Партнерка	Партнер спрашивает на сколько нужно пополнить партнерский , чтобы оплатить подписку клиенту	Чтобы не гадать, партнер может зайти в лк клиента через свой аккаунт, перейти в раздел Подписки - Добавить подписку, выбрать нужный тариф, срок и унего будет показано сколько составляет партнерская скидка и сколько нужно заплатить
Партнерка	Какую информацию указывает партнер при добавлении клиента	Клиент добавляется по кнопке "+Добавить клиента" в разделе Партнерка - вкладка Клиенты При добавлении клиента появляется окно, в котором нужно указать email владельца аккаунта, т.е. клиента (email - логин, по которому клиент сможет входить в аккаунт), название компании:  https://monosnap.com/file/1ymYitiP5CMR1U6iVHqaiuBIzf1mIL  Строка название компании будет отображаться во вкладке Клиенты.
Партнерка	Перевод денег с аккаунта клиента на партнерский	Проверяйте в акке партнера, действительно ли он оплачивал подписку клиенту (раздел партнерский  у партнера, раздел а и платежи у клиента). Если клиент НЕ закреплен за партнером и мы делаем "перевод" с аккаунта клиента на партнерский аккаунт, то ВСЯ сумма падает партнеру на партнерский  Если клиент ЗАКРЕПЛЕН за партнером, то с помощью кнопки "перевод" с аккаунта клиента на партнерский аккаунт деньги приходят на партнерский  с вычетом 35% или 50% от суммы.
Партнерка	Партнер пополнил аккаунт клиента напрямую	В случае, если официальный партнер пополняет аккаунт клиента, то он получит вознаграждение 20% как реферальный партнер. Для получения 35% комиссионных ему нужно пополнять баланс клиента через свой партнерский кабинет. Если партнер ошибся и пополнил баланс клиента напрямую, объясните ему как нужно правильно оплачивать, чтобы следующие оплаты проводил через себя.
Партнерка	Ссылка на чат партнеров (партнерский чат) в телеге	Ссылку отправляйте ток партнерам, спрашивайте номер акка и смотрите, партнер или нет  Ссылка для приглашения https://t.me/+QgHOXc4HmDViZmYy
Партнерка	Клиент закреплен за двумя аккаунтами, кто получит 20% с его оплаты	Если у клиента реф. партнер один, а оф. партнер другой, то если клиент оплатит самостоятельно, 20% в начале след меяца получит реф.партнер Если оф.партнер оплатит подписку этому клиенту со своего партнерского а, то реф. партнер ничего не получит  При смене папы, меняется только оф. партнер, реф. партнер остается тот же
Партнерка	Приоритет отображения клиентов в разделе Клиенты	Приоритет отображения строк - по приоритету комментариев:  Одновременно может отображаться только один комментарий о подписке/интеграции. Сверху вниз идем от самого приоритетного комментария: - Ошибка подключения - Закончился срок действия подписки - У канала превышен лимит диалогов - Закончились деньги на балансе подписки WhatsApp Business API - Заканчивается срок действия подписки - Канал приближается к лимиту диалогов - Скоро закончатся деньги на балансе подписки WhatsApp Business API  Внутри групп комментариев по дате появления комментария - чем позже появился, тем выше (например у двоих ошибка подключения и выше будет тот, у кого позже появился этот комментарий). Если нет комментария, то по дате регистрации по убыванию, от более новой регистрации к более старой  Если в строке есть комментарий, то иконка перехода в аккаунт клиента становится зеленой.
Партнерка	Клиент говорит, что ему другие интеграторы/партнеры ниже рыночной цены предлагают продление	Попробовать уточнить от кого такое предложение было (скриншот, номер телефона, все что поможет идентифицировать партнера) Если клиент купит подписку по цене ниже, мы в этом случае подписку клиента тоже анулируем, потому что интегратор этим нарушает договор наш с ним = его договор с интегратором недействителен. https://wazzup24.com/integrator-partner-rules#six
Партнерка	Если реферал оплатил в другой валюте, как будет считаться начисление	Если валюта кабинета отличается от валюты оплаты реферала, то производится ра выплаты по формуле: Ра выплаты = Сумма оплаты в валюте, в которой она была произведена * (Курс обмена на момент раа + 3%) * 20% 1 числа месяца
Партнерка	Партнер просит открепить от него клиента	Если оф. партнер просит открепить от него клиента, чтобы он не отображался у него в аккаунте в разделе клиенты, это делается через планфикс. Инструкция: https://www.notion.so/f44dd274071244a79a9cce90f71659b8#5556ab720d2d402caab8bd5115ea11fb
Техническое	Массовые рассылки	Рассылки через WhatsApp Web и в Instagram делать не рекомендуем — могут забанить! Рассылки — прямое нарушение правил пользования WhatsApp/Instagram.  Мы не можем знать и не даем прогнозов, забанят вас или нет за рассылку. Рассылки в WhatsApp и Instagram как бег по минному полю: можно пробежать 50 метров, а можно подорваться на первых шагах — не угадаешь. Но долго бегать по полю точно не получится. Прочитайте наши статьи на эту тему:  WhatsApp: https://wazzup24.com/help/ru/reshenie-problem/bans-in-whatsapp-ru/ Instagram: https://wazzup24.com/help/ru/reshenie-problem/bans-in-instagram-ru/ Telegram: https://wazzup24.ru/help/reshenie-problem/kak-izbezhat-blokirovki-v-telegram/ WABA: https://wazzup24.ru/help/how-to-configurate/kak-delat-rassylki-v-waba-i-ne-poluchit-ban/  Рассылки через канал WABA делать можно, но есть ограничения. Если интересует — могу рассказать подробнее. Непосредственно из Wazzup рассылку не сделать, у нас нет такого функционала. Рассылку можно сделать:  — в amoCRM: https://wazzup24.ru/help/how-to-use/kak-sdelat-rassylku-v-amocrm/ — в Битрикс24 с помощью бизнес-процессов и роботов: https://wazzup24.com/help/ru/how-to-configurate/create-business-process-ru/ https://wazzup24.com/help/ru/how-to-configurate/add-an-automation-ru/
Техническое	Отслеживание изменения статуса сообщения по API	При отправке сообщения вы получаете от сервера ответ 200 ОК, а в теле в json-формате будет лежать guid этого нового сообщения. Никаких статусов тут нет, этот ответ говорит о том, что сообщение создалось в нашей системе (со статусом 0) и встало в очередь на отправку через канал whatsapp. Когда эта отправка произойдет (статус 1), когда будет доставлено (2) и прочитано (3), ну или произошла ошибка (статусы 13, 14, 15, 17, 18, 19, 21, 66), вам придёт от нашего сервера вебхук, содержащий guid и новый статус, как в документе. Точнее, 201 Created. Сделать запрос для проверки статуса сообщения нельзя, только вебхук.
Техническое	Как написать первым из Planfix  в Whatsapp	1. Если нет обращения: https://www.notion.so/935ab850fc1c4055b2a0f1c717c687bc  2. Если есть обращение просто отправь шаблон, если прошло 24 часа с последнего входящего: https://www.notion.so/935ab850fc1c4055b2a0f1c717c687bc#69efe55aaf8e44658079e3a1d913b83c  Чтобы отправить файл - загрузи его на диск, возьми ссылку на него и отправляй ссылку в шаблоне Загрузить файл можно сюда: https://drive.google.com/drive/folders/1kDDIYzxyVROEJ7XOGjmP9_4mrbj-fBj7?usp=sharing
Техническое	Как выбирается, какое имя подтягивается в чат контакту	В индивидуальном диалоге: - имя контакта будет таким, как клиент назвал себя в WhatsApp, если контакт создан входящим; - имя контакта берется из личного кабинета Wazzup или CRM, если контакт создали в них; - имя контакта в чате Wazzup поменяется, если его изменить в CRM.  В групповом диалоге: - имя контакта берется из телефона, если контакт в нем записан; - вместо имени отображается номер телефона, если контакт не записан в телефоне.  *У нас в ЛК/МП/айфрейме контакт называется так же, как в црм. При этом, если в црм несколько контактов с таким номером, то у нас будет имя последнего измененного в црм. А еще с битриксом у нас лиды считаются как контакты.  Пример: У клиента с одним телефоном есть один лид и один контакт. Лид зовут "+79994680780 - Входящий звонок", а контакт зовут "Олег Васильев". Лид изменен 15 июля, контакт 13. Собсна имя лида в диалоге и будет. И клиенту нужно либо лид переименовать, либо в контакте что-нибудь поменять, чтобы новое имя подтянулось.
Техническое	Как удалить личные чаты	Удалить чат или конкретное сообщение нельзя. Это сделано специально для удобства руководителей и управляющих. Так руководитель всегда сможет отследить каждый диалог клиента с менеджером, чтобы ничего плохого не скрылось 👀  Можно удалить канал вместе со всеми чатами, и потом подключить его снова. При подключении канала WhatsApp заново, загрузятся последние 3 диалога, и если контакт с «нежелательным сообщением» снова напишет — диалог подтянется ¯\_(ッ)_/¯ Но сообщение можно удалить в самом приложении WhatsApp.
Техническое	Не отправляется сообщение на бразильский номер	Если обращается клиент с вопросом, что у его клиента на номере есть WhatsApp, но мы показываем, что на номере нет, просим прислать номер контакта и смотрим, сколько цифр в номере телефона. Если в нем 12 цифр, значит он записан в старом формате, просим записать в новом формате номер (13 цифр, добавляя на пятое место в номере цифру 9)  Пример номера старого формата:+552182419124 Пример номера нового формата: +5521982419124
Техническое	Как работает нотификация и кому видны чаты	Нотификацию получает тот менеджер, кому доступен чат (он видит его в списке всех своих чатов и в мобильном приложении). Для этого должны быть выполнены два условия: 1. Он должен иметь доступ к каналу в настройках интеграции 2. Он должен быть ответственным в CRM за контакт или за любую сделку в активном статусе. Это значит: 1. Обычно за сделку и контакт отвечает один менеджер, поэтому чат доступен одному человеку. 2. Если у сделки меняется ответственный, то чат перестает видеть прошлый ответственный и начинает видеть новый 3. Если сделка закрывается в статус успешный или неуспешный, то ответственный за эту сделку перестает видеть чат (кроме случая, когда он ответственный за контакт) 4. Если в CRM несколько активных сделок с клиентом, то чат будут видеть одновременно несколько человек (этим пользуются, когда для работы над сделкой подключают смежные отделы) 5. Если у вас несколько каналов и у менеджера нет доступа к каналу в настройках интеграции, на который написал клиент, то он не увидит сообщение и не получит нотификацию даже если он ответственный за контакт в CRM (пример кейса применения - когда нужно развести переписку продаж и поддержки)
Техническое	Если сменить пароль в ЛК, у других выбьет авторизацию	Да, если сменить пароль в ЛК Ваззап, то если кто-то будет в нем находиться, и перейдет на другую вкладку/обновит страницу, то его выкинет на страницу входа
Техническое	При оплате подписки, "подписка не найдена"	Если при оплате появляется ошибка, что "подписка не найдена", то пусть смело удаляют эту подписку и новую создают. Если со второго раза не прокатит, то создавай задачу на Л3
Техническое	По какому принципу распределяется очередь у сотров с ползунком получает новых клиентов?	Первое тому, кто в списке в п.2 первый и далее по очереди по этому списку
Техническое	Ограничения на отправку файлов	При отправке из нативных чатов Амо или открытых линий битрикс - ограничение на размер отправляемых файлов 10 мб (это наше ограничение, не срм). При отправке из нашего доп. окна или из ЛК Wazzup - ограничение на размер отправляемых файлов 50 мб.  При этом, с некоторых каналов нельзя отправлять файлы размером и 50 мб, все ограничения тут: https://wazzup24.ru/help/reshenie-problem/requirements-for-attachments/
